MediumMagboltz::LoadGasFile: Reading Ar-iC4H10(90-10).gas.
MediumMagboltz::LoadGasFile: Version 12
MediumMagboltz::LoadGasFile:
    Gas composition set to Ar/iC4H10 (90/10)
E = 10V/cm,  Vx = -0.179811cm/us, to drift 20cm, t = -111.228us, 0,1V/cm fluctuation, dt = 1726.53ns, 1V/cm fluctuation, dt = 12509.8ns, %1 fluctuation, dt = 1726.53ns, %10 fluctuation, dt = 12509.8ns
E = 20V/cm,  Vx = -0.379131cm/us, to drift 20cm, t = -52.7522us, 0,1V/cm fluctuation, dt = 285.735ns, 1V/cm fluctuation, dt = 2460.24ns, %1 fluctuation, dt = 542.553ns, %10 fluctuation, dt = 4778.44ns
E = 30V/cm,  Vx = -0.591866cm/us, to drift 20cm, t = -33.7914us, 0,1V/cm fluctuation, dt = 124.387ns, 1V/cm fluctuation, dt = 1285.47ns, %1 fluctuation, dt = 386.946ns, %10 fluctuation, dt = 3521.63ns
E = 40V/cm,  Vx = -0.834471cm/us, to drift 20cm, t = -23.9673us, 0,1V/cm fluctuation, dt = 75.2082ns, 1V/cm fluctuation, dt = 736.997ns, %1 fluctuation, dt = 299.84ns, %10 fluctuation, dt = 2596.81ns
E = 50V/cm,  Vx = -1.10064cm/us, to drift 20cm, t = -18.1712us, 0,1V/cm fluctuation, dt = 44.4835ns, 1V/cm fluctuation, dt = 428.238ns, %1 fluctuation, dt = 219.359ns, %10 fluctuation, dt = 1939.33ns
E = 60V/cm,  Vx = -1.37161cm/us, to drift 20cm, t = -14.5814us, 0,1V/cm fluctuation, dt = 29.377ns, 1V/cm fluctuation, dt = 290.249ns, %1 fluctuation, dt = 174.956ns, %10 fluctuation, dt = 1566.77ns
E = 70V/cm,  Vx = -1.64956cm/us, to drift 20cm, t = -12.1244us, 0,1V/cm fluctuation, dt = 21.4431ns, 1V/cm fluctuation, dt = 211.236ns, %1 fluctuation, dt = 148.603ns, %10 fluctuation, dt = 1278.86ns
E = 80V/cm,  Vx = -1.92313cm/us, to drift 20cm, t = -10.3997us, 0,1V/cm fluctuation, dt = 14.0897ns, 1V/cm fluctuation, dt = 138.841ns, %1 fluctuation, dt = 111.406ns, %10 fluctuation, dt = 1005.63ns
E = 90V/cm,  Vx = -2.1795cm/us, to drift 20cm, t = -9.17641us, 0,1V/cm fluctuation, dt = 10.5521ns, 1V/cm fluctuation, dt = 103.932ns, %1 fluctuation, dt = 93.7539ns, %10 fluctuation, dt = 825.573ns
E = 100V/cm,  Vx = -2.41801cm/us, to drift 20cm, t = -8.27126us, 0,1V/cm fluctuation, dt = 7.85795ns, 1V/cm fluctuation, dt = 77.7859ns, %1 fluctuation, dt = 77.7859ns, %10 fluctuation, dt = 719.489ns
E = 110V/cm,  Vx = -2.64838cm/us, to drift 20cm, t = -7.55177us, 0,1V/cm fluctuation, dt = 6.35798ns, 1V/cm fluctuation, dt = 62.8096ns, %1 fluctuation, dt = 68.9975ns, %10 fluctuation, dt = 603.152ns
E = 120V/cm,  Vx = -2.8587cm/us, to drift 20cm, t = -6.99619us, 0,1V/cm fluctuation, dt = 4.81386ns, 1V/cm fluctuation, dt = 47.5655ns, %1 fluctuation, dt = 56.9274ns, %10 fluctuation, dt = 495.161ns
E = 130V/cm,  Vx = -3.04314cm/us, to drift 20cm, t = -6.57215us, 0,1V/cm fluctuation, dt = 3.6199ns, 1V/cm fluctuation, dt = 35.8956ns, %1 fluctuation, dt = 46.5341ns, %10 fluctuation, dt = 433.805ns
E = 140V/cm,  Vx = -3.20878cm/us, to drift 20cm, t = -6.23289us, 0,1V/cm fluctuation, dt = 3.23355ns, 1V/cm fluctuation, dt = 32.0766ns, %1 fluctuation, dt = 44.7476ns, %10 fluctuation, dt = 382.312ns
E = 150V/cm,  Vx = -3.36276cm/us, to drift 20cm, t = -5.9475us, 0,1V/cm fluctuation, dt = 2.49538ns, 1V/cm fluctuation, dt = 24.7216ns, %1 fluctuation, dt = 36.8906ns, %10 fluctuation, dt = 336.923ns
E = 160V/cm,  Vx = -3.50077cm/us, to drift 20cm, t = -5.71303us, 0,1V/cm fluctuation, dt = 2.17342ns, 1V/cm fluctuation, dt = 21.5658ns, %1 fluctuation, dt = 34.3272ns, %10 fluctuation, dt = 294.399ns
E = 170V/cm,  Vx = -3.62411cm/us, to drift 20cm, t = -5.51859us, 0,1V/cm fluctuation, dt = 1.75104ns, 1V/cm fluctuation, dt = 17.3588ns, %1 fluctuation, dt = 29.3112ns, %10 fluctuation, dt = 263.922ns
E = 180V/cm,  Vx = -3.73363cm/us, to drift 20cm, t = -5.35672us, 0,1V/cm fluctuation, dt = 1.50238ns, 1V/cm fluctuation, dt = 14.9266ns, %1 fluctuation, dt = 26.7135ns, %10 fluctuation, dt = 242.129ns
E = 190V/cm,  Vx = -3.83608cm/us, to drift 20cm, t = -5.21365us, 0,1V/cm fluctuation, dt = 1.3365ns, 1V/cm fluctuation, dt = 13.277ns, %1 fluctuation, dt = 25.0602ns, %10 fluctuation, dt = 214.947ns
E = 200V/cm,  Vx = -3.92771cm/us, to drift 20cm, t = -5.09202us, 0,1V/cm fluctuation, dt = 1.10887ns, 1V/cm fluctuation, dt = 11.0056ns, %1 fluctuation, dt = 21.828ns, %10 fluctuation, dt = 191.958ns
E = 210V/cm,  Vx = -4.00878cm/us, to drift 20cm, t = -4.98905us, 0,1V/cm fluctuation, dt = 0.957335ns, 1V/cm fluctuation, dt = 9.50946ns, %1 fluctuation, dt = 19.807ns, %10 fluctuation, dt = 172.167ns
E = 220V/cm,  Vx = -4.08158cm/us, to drift 20cm, t = -4.90007us, 0,1V/cm fluctuation, dt = 0.824788ns, 1V/cm fluctuation, dt = 8.19171ns, %1 fluctuation, dt = 17.858ns, %10 fluctuation, dt = 152.86ns
E = 230V/cm,  Vx = -4.14623cm/us, to drift 20cm, t = -4.82366us, 0,1V/cm fluctuation, dt = 0.680733ns, 1V/cm fluctuation, dt = 6.77345ns, %1 fluctuation, dt = 15.467ns, %10 fluctuation, dt = 142.568ns
E = 240V/cm,  Vx = -4.20236cm/us, to drift 20cm, t = -4.75923us, 0,1V/cm fluctuation, dt = 0.607924ns, 1V/cm fluctuation, dt = 6.04767ns, %1 fluctuation, dt = 14.3972ns, %10 fluctuation, dt = 132.966ns
E = 250V/cm,  Vx = -4.25671cm/us, to drift 20cm, t = -4.69846us, 0,1V/cm fluctuation, dt = 0.589648ns, 1V/cm fluctuation, dt = 5.86354ns, %1 fluctuation, dt = 14.5223ns, %10 fluctuation, dt = 116.502ns
E = 260V/cm,  Vx = -4.30648cm/us, to drift 20cm, t = -4.64416us, 0,1V/cm fluctuation, dt = 0.460624ns, 1V/cm fluctuation, dt = 4.57549ns, %1 fluctuation, dt = 11.7548ns, %10 fluctuation, dt = 104.18ns
E = 270V/cm,  Vx = -4.34648cm/us, to drift 20cm, t = -4.60143us, 0,1V/cm fluctuation, dt = 0.393961ns, 1V/cm fluctuation, dt = 3.91042ns, %1 fluctuation, dt = 10.4099ns, %10 fluctuation, dt = 98.6489ns
E = 280V/cm,  Vx = -4.38372cm/us, to drift 20cm, t = -4.56233us, 0,1V/cm fluctuation, dt = 0.383174ns, 1V/cm fluctuation, dt = 3.81547ns, %1 fluctuation, dt = 10.5926ns, %10 fluctuation, dt = 90.8103ns
E = 290V/cm,  Vx = -4.41912cm/us, to drift 20cm, t = -4.52579us, 0,1V/cm fluctuation, dt = 0.345474ns, 1V/cm fluctuation, dt = 3.43268ns, %1 fluctuation, dt = 9.82027ns, %10 fluctuation, dt = 78.5373ns
E = 300V/cm,  Vx = -4.45074cm/us, to drift 20cm, t = -4.49364us, 0,1V/cm fluctuation, dt = 0.297394ns, 1V/cm fluctuation, dt = 2.95276ns, %1 fluctuation, dt = 8.71758ns, %10 fluctuation, dt = 69.527ns
E = 310V/cm,  Vx = -4.47742cm/us, to drift 20cm, t = -4.46686us, 0,1V/cm fluctuation, dt = 0.230263ns, 1V/cm fluctuation, dt = 2.29003ns, %1 fluctuation, dt = 7.00826ns, %10 fluctuation, dt = 65.0611ns
